,"{container=""coredns""}"
2023-12-21 08:37:25,0.067014656
2023-12-21 08:38:25,0.065150976
2023-12-21 08:39:25,0.068337664
2023-12-21 08:40:25,0.070500352
2023-12-21 08:41:25,0.071917568
2023-12-21 08:42:25,0.073211904
2023-12-21 08:43:25,0.073842688
2023-12-21 08:44:25,0.07538688
2023-12-21 08:45:25,0.077246464
2023-12-21 08:46:25,0.075677696
2023-12-21 08:47:25,0.078282752
2023-12-21 08:48:25,0.078135296
2023-12-21 08:49:25,0.079577088
2023-12-21 08:50:25,0.079282176
2023-12-21 08:51:25,0.082214912
2023-12-21 08:52:25,0.080982016
2023-12-21 08:53:25,0.0818176
2023-12-21 08:54:25,0.083611648
2023-12-21 08:55:25,0.082276352
2023-12-21 08:56:25,0.083460096
2023-12-21 08:57:25,0.08368128
2023-12-21 08:58:25,0.081793024
2023-12-21 08:59:25,0.083234816
2023-12-21 09:00:25,0.081944576
2023-12-21 09:01:25,0.082378752
2023-12-21 09:02:25,0.08265728
2023-12-21 09:03:25,0.079458304
2023-12-21 09:04:25,0.083054592
2023-12-21 09:05:25,0.081383424
