,"{container=""istio-proxy""}"
2023-12-21 08:38:25,0.10258432
2023-12-21 08:39:25,0.213741568
2023-12-21 08:40:25,0.225640448
2023-12-21 08:41:25,0.227106816
2023-12-21 08:42:25,0.22560768
2023-12-21 08:43:25,0.233074688
2023-12-21 08:44:25,0.227852288
2023-12-21 08:45:25,0.227872768
2023-12-21 08:46:25,0.23205888
2023-12-21 08:47:25,0.232648704
2023-12-21 08:48:25,0.233897984
2023-12-21 08:49:25,0.234397696
2023-12-21 08:50:25,0.233947136
2023-12-21 08:51:25,0.241512448
2023-12-21 08:52:25,0.257355776
2023-12-21 08:53:25,0.271015936
2023-12-21 08:54:25,0.320372736
2023-12-21 08:55:25,0.327671808
2023-12-21 08:56:25,0.340279296
2023-12-21 08:57:25,0.340283392
2023-12-21 08:58:25,0.337137664
2023-12-21 08:59:25,0.335187968
2023-12-21 09:00:25,0.339984384
2023-12-21 09:01:25,0.339980288
2023-12-21 09:02:25,0.339984384
2023-12-21 09:03:25,0.335732736
2023-12-21 09:04:25,0.3357696
2023-12-21 09:05:25,0.332529664
