,"{code=""403""}","{code=""404""}","{code=""409""}","{code=""410""}"
2023-12-21 04:17:29,,1.1272,,
2023-12-21 04:18:29,,5.107493333333333,,
2023-12-21 04:19:29,0.05636,9.622222222222222,,
2023-12-21 04:20:29,0.6222222222222221,8.955555555555554,,
2023-12-21 04:21:29,0.6222222222222221,12.355555555555554,0.4,
2023-12-21 04:22:29,,14.018691588785048,,
2023-12-21 04:23:29,,5.377777777777777,,
2023-12-21 04:24:29,,4.666666666666667,,
2023-12-21 04:25:29,,1.0444444444444445,,
2023-12-21 04:27:29,,0.8,,
2023-12-21 04:28:29,,0.08888888888888888,0.4,
2023-12-21 04:29:29,,0.02222222222222222,0.17777777777777776,
2023-12-21 04:30:29,,,,0.02222222222222222
2023-12-21 04:32:29,,,0.4,
2023-12-21 04:33:29,,,0.26666666666666666,
2023-12-21 04:37:29,,0.7777777777777778,0.4,
2023-12-21 04:38:29,,0.17777777777777776,,
2023-12-21 04:44:29,,,0.6,
2023-12-21 04:47:29,,0.6888888888888888,,
2023-12-21 04:48:29,,0.2,,
2023-12-21 04:53:29,,,0.4,
