,"{operation=""create""}","{operation=""get""}","{operation=""list""}","{operation=""listWithCount""}","{operation=""update""}"
2023-08-25 22:38:16,,0.024344444444444443,0.024600000000000004,0.02340000000000001,0.024339999999999994
2023-08-25 22:39:16,,0.024390000000000002,0.00495,0.02428,0.02426666666666666
2023-08-25 22:40:16,,0.023259259259259264,0.00495,0.02239999999999999,0.024339999999999994
2023-08-25 22:41:16,,0.023793749999999992,0.0246,0.02393333333333334,0.024225000000000003
2023-08-25 22:42:16,,0.024322222222222224,0.00495,0.02280000000000001,0.024339999999999994
2023-08-25 22:43:16,0.024120000000000006,0.0241578947368421,0.00495,0.02239999999999999,0.024200000000000006
2023-08-25 22:44:16,,0.02425882352941177,0.0247,0.0226,0.04050000000000008
2023-08-25 22:45:16,,0.023251851851851846,0.024366666666666672,0.023600000000000003,0.024149999999999994
2023-08-25 22:46:16,,0.024107692307692306,0.00495,0.02386666666666666,0.02405714285714285
2023-08-25 22:47:16,0.024600000000000004,0.023654545454545456,0.024600000000000004,0.02428,0.024399999999999995
2023-08-25 22:48:16,,0.02404615384615385,0.00495,0.02120000000000002,0.024085714285714294
2023-08-25 22:49:16,,0.02425,0.00495,0.024,0.041749999999999884
2023-08-25 22:50:16,,0.023600000000000003,0.00495,0.02340000000000001,0.02450769230769231
2023-08-25 22:51:16,,0.0242,0.024600000000000004,0.0238,0.0238
2023-08-25 22:52:16,,0.023909090909090908,0.00495,0.02220000000000001,0.024085714285714294
2023-08-25 22:53:16,,0.03449999999999999,0.00495,0.0232,0.02451428571428571
2023-08-25 22:54:16,,0.024287499999999997,0.00495,0.021599999999999977,0.023349999999999982
2023-08-25 22:55:16,,0.02386666666666666,0.00495,0.0226,0.024085714285714294
2023-08-25 22:56:16,,0.024200000000000003,0.00495,0.023699999999999992,0.024380000000000002
2023-08-25 22:57:16,,0.024016666666666665,0.00495,0.0049499999999999995,0.041749999999999884
2023-08-25 22:58:16,,0.024011764705882354,0.02452,0.023600000000000003,0.02417499999999999
