,"{verb=""CONNECT""}","{verb=""DELETE""}","{verb=""GET""}","{verb=""LIST""}","{verb=""PATCH""}","{verb=""POST""}","{verb=""PUT""}"
2023-12-21 19:39:18,0.0995,,0.049499999999999995,,,0.0495,0.04950000000000001
2023-12-21 19:40:18,0.586,,0.44640000000000285,0.15824999999999984,0.39752763819095466,0.5509714285714261,0.323428571428572
2023-12-21 19:41:18,1.3403846153846124,,0.38048062015504047,1.9049999999999996,0.3976129032258072,0.4385263157894735,0.2731428571428584
2023-12-21 19:42:18,0.3799999999999999,,0.39517314487632504,0.396,0.5703552123552135,0.5787322834645671,0.4536666666666706
2023-12-21 19:43:18,3.8400000000000007,,0.19475776397515548,0.04950000000000001,0.19134521575985,0.2192307692307674,0.1566249999999999
2023-12-21 19:44:18,0.19200000000000006,,0.0495,0.04950000000000001,0.049675635718509754,0.049499999999999995,0.04962095296273671
2023-12-21 19:45:18,0.0995,,0.0495,0.04950000000000001,0.0495,0.0495,0.04950000000000001
2023-12-21 19:46:18,0.6458888888888895,,0.0631999999999994,,0.16499999999999976,0.04956043956043957,0.11074999999999953
2023-12-21 19:47:18,0.3690000000000002,,0.04976756756756757,0.04950000000000001,0.12466666666666582,0.0495,0.12960000000000035
2023-12-21 19:48:18,0.35949206349206353,,0.04977,0.04950000000000001,0.09025000000000005,0.0495,0.04977348066298343
2023-12-21 19:49:18,0.0965,,0.04991596638655463,0.0995,0.06850000000000003,0.0495,0.04992307692307693
2023-12-21 19:50:18,0.191,,0.04996963946869071,0.09946,0.06724999999999967,0.049499999999999995,0.08949999999999979
2023-12-21 19:51:18,0.0995,,0.0495,,0.0495,0.04950000000000001,0.0495
2023-12-21 19:52:18,0.09942857142857144,,0.04950000000000001,,0.04950000000000001,0.049499999999999995,0.0495
2023-12-21 19:53:18,0.0995,0.39214583333333336,0.09717647058823538,0.5599999999999997,0.0495,0.13499999999999895,0.0495
2023-12-21 19:54:18,1.3899999999999983,1.482916666666668,0.584518518518519,13.350000000000009,0.6922857142857151,0.5498000000000018,0.5706666666666683
2023-12-21 19:55:18,1.0720454545454567,,0.29991489361701873,0.5639999999999997,0.3069559748427658,0.39490666666666746,0.18509090909090897
2023-12-21 19:56:18,0.049499999999999995,,0.0495,0.18009999999999995,0.08675000000000008,0.049641833810888256,0.049572368421052636
2023-12-21 19:57:18,0.09946428571428571,,0.049499999999999995,0.18274999999999997,0.0495,0.0495,0.049627249357326486
2023-12-21 19:58:18,0.39755555555555555,,0.0495,0.07616666666666681,0.0495,0.0495,0.0495
2023-12-21 19:59:18,0.3657714285714281,,0.04950000000000001,0.04950000000000001,,0.0495,0.0495
2023-12-21 20:00:18,0.0495,,0.0495,0.564,0.049499999999999995,0.0495,0.049499999999999995
2023-12-21 20:01:18,0.09942857142857144,,0.0495,0.0997709497206704,0.0495,0.0495,0.0495
2023-12-21 20:02:18,0.09935714285714287,,0.049499999999999995,0.37600000000000017,0.04950000000000001,0.0495,0.049499999999999995
2023-12-21 20:03:18,0.0995,,0.04950000000000001,,,0.0495,0.0495
2023-12-21 20:04:18,0.0995,,0.0495,0.04950000000000001,0.04950000000000001,0.049499999999999995,0.04962924281984335
2023-12-21 20:05:18,0.19200000000000006,,0.04950000000000001,0.04950000000000001,,0.04950000000000001,0.049630606860158306
2023-12-21 20:06:18,0.3975873015873016,,0.0495,,0.04950000000000001,0.049499999999999995,0.04950000000000001
2023-12-21 20:07:18,0.34333333333333316,,0.0495,0.04950000000000001,0.04950000000000001,0.04950000000000001,0.04950000000000001
2023-12-21 20:08:18,0.09850000000000002,,0.0495,0.04950000000000001,,0.0495,0.0495
2023-12-21 20:09:18,0.3976133333333334,,0.0495,0.04950000000000001,0.04950000000000001,0.0495,0.0495
2023-12-21 20:10:18,0.32225641025641094,,0.0495,,,0.0495,0.049499999999999995
2023-12-21 20:11:18,0.19845454545454547,,0.0495,0.049499999999999995,0.04950000000000001,0.0495,0.04962014563106796
2023-12-21 20:12:18,0.19893103448275865,,0.0495,,0.04950000000000001,0.0495,0.049499999999999995
2023-12-21 20:13:18,0.09925,0.04950000000000001,0.0495,0.04950000000000001,0.04950000000000001,0.0495,0.04950000000000001
