,"{verb=""CONNECT""}","{verb=""GET""}","{verb=""LIST""}","{verb=""PATCH""}","{verb=""POST""}","{verb=""PUT""}"
2023-12-20 21:39:46,0.19453174603174606,0.0495,,0.049499999999999995,0.0495,0.0495
2023-12-20 21:40:46,0.0495,0.984400000000002,0.049980582524271844,0.7035555555555558,0.5053333333333363,0.34186666666666643
2023-12-20 21:41:46,0.394,0.43913333333333515,0.198,0.5174610778443152,0.46996078431372446,0.3983333333333331
2023-12-20 21:42:46,0.596,0.5178431372549009,0.396,0.5961036468330134,0.6836082474226796,0.3930526315789473
2023-12-20 21:43:46,0.19200000000000006,0.13364705882352929,0.09800000000000002,0.18848036253776448,0.17705645161290318,0.04986940298507463
2023-12-20 21:44:46,0.3960184331797235,0.0495,,0.0495,0.0495,0.0495
2023-12-20 21:45:46,0.19899204244031832,0.0495,0.04950000000000001,0.04965230769230769,0.04950000000000001,0.04975714285714287
2023-12-20 21:46:46,0.04950000000000001,0.0495,0.04950000000000001,0.049725,0.049499999999999995,0.049499999999999995
2023-12-20 21:47:46,0.19200000000000006,0.0495,0.04950000000000001,0.0496987951807229,0.0495,0.049631648936170204
2023-12-20 21:48:46,0.0995,0.049499999999999995,,0.09055882352941175,0.09960256410256411,0.0495
2023-12-20 21:49:46,0.39421008403361346,0.0495,0.7540000000000004,0.049499999999999995,0.0495,0.04956387096774194
2023-12-20 21:50:46,0.1936279069767442,0.0495,0.04950000000000001,0.0495,0.0495,0.049771978021978025
2023-12-20 21:51:46,0.26349999999999857,0.0495,,0.0495,0.0495,0.0495
2023-12-20 21:52:46,0.099475,0.049499999999999995,0.3865,0.04950000000000001,0.0495,0.0495
2023-12-20 21:53:46,0.09938888888888889,0.04950000000000001,0.193,0.0495,0.0495,0.0495
2023-12-20 21:54:46,0.3891428571428571,0.0495,0.04950000000000001,0.0495,0.049499999999999995,0.0495
2023-12-20 21:55:46,0.3820127388535033,0.0495,0.04950000000000001,0.04950000000000001,0.049499999999999995,0.0495
2023-12-20 21:56:46,0.1989855421686747,0.04958935018050542,0.9680000000000002,0.0495,0.0495,0.04963711911357341
2023-12-20 21:57:46,0.09700000000000003,0.0495,,0.0495,0.0495,0.0495
2023-12-20 21:58:46,0.0995,0.0495,0.04950000000000001,0.0495,0.0495,0.0495
2023-12-20 21:59:46,0.0995,0.0495,,0.0495,0.049499999999999995,0.0495
2023-12-20 22:00:46,0.0995,0.049499999999999995,,0.04950000000000001,0.0495,0.0495
2023-12-20 22:01:46,0.39065641025641024,0.0495,0.04950000000000001,0.0495,0.0495,0.0495
2023-12-20 22:02:46,0.1990668103448276,0.0495,,0.0495,0.049499999999999995,0.0495
2023-12-20 22:03:46,0.0495,0.0495,,0.0495,0.0495,0.0495
2023-12-20 22:04:46,0.394,0.04950000000000001,0.04950000000000001,0.0495,0.0495,0.0495
2023-12-20 22:05:46,0.099375,0.0495,,,0.0495,0.0495
2023-12-20 22:06:46,0.39564516129032257,0.0495,0.36800000000000016,0.0495,0.0495,0.0495
2023-12-20 22:07:46,0.3538571428571426,0.0495,0.3619999999999998,0.0495,0.0495,0.0495
2023-12-20 22:08:46,0.0495,0.0495,0.04950000000000001,0.0495,0.0495,0.049499999999999995
