,"{verb=""GET""}","{verb=""LIST""}","{verb=""PATCH""}","{verb=""POST""}","{verb=""PUT""}"
2023-08-10 18:47:34,0.08582499999999996,0.04950000000000001,0.04950000000000001,0.04970370370370371,0.0495
2023-08-10 18:48:34,0.049645161290322586,0.04950000000000001,0.0495,0.0495,0.049499999999999995
2023-08-10 18:49:34,0.049604375329467584,0.17500000000000013,0.04950000000000001,0.049499999999999995,0.049499999999999995
2023-08-10 18:50:34,0.04958694379391101,,0.049889763779527564,0.04950000000000001,0.0495
2023-08-10 18:51:34,0.049598654708520186,0.18199999999999997,0.0495,0.0495,0.049499999999999995
2023-08-10 18:52:34,0.04952918632075471,,0.04950000000000001,0.0495,0.0495
2023-08-10 18:53:34,0.049606853750674584,0.17900000000000005,0.0495,0.0495,0.04950000000000001
2023-08-10 18:54:34,0.049616129032258066,,0.0495,0.0495,0.0495
2023-08-10 18:55:34,0.049606280193236714,0.17900000000000005,0.0495,0.0495,0.0495
2023-08-10 18:56:34,0.049557524694944795,0.04950000000000001,0.049499999999999995,0.049917721518987344,0.049499999999999995
2023-08-10 18:57:34,0.04952903225806451,0.04950000000000001,0.04950000000000001,0.1305000000000001,0.0495
2023-08-10 18:58:34,0.04964627659574468,0.19700000000000004,0.12899999999999925,0.20333333333333384,0.0495
2023-08-10 18:59:34,0.04952684381778741,0.1809999999999999,0.0495,0.04995205479452055,0.04950000000000001
2023-08-10 19:00:34,0.04955823529411765,0.04950000000000001,0.0495,0.21799999999999808,0.0495
2023-08-10 19:01:34,0.049617021276595744,0.04950000000000001,0.0495,0.24733333333333185,0.04950000000000001
2023-08-10 19:02:34,0.049644906323185,0.04950000000000001,0.04950000000000001,0.25733333333333536,0.0495
2023-08-10 19:03:34,0.04958613689095128,0.04950000000000001,0.0495,0.18025000000000047,0.0495
2023-08-10 19:04:34,0.049586740654205604,0.04950000000000001,0.04950000000000001,0.19325000000000073,0.049499999999999995
2023-08-10 19:05:34,0.049645588235294115,0.04950000000000001,0.0495,0.049719026548672565,0.0495
2023-08-10 19:06:34,0.049645588235294115,0.049499999999999995,0.0495,0.21799999999999808,0.04973913043478261
2023-08-10 19:07:34,0.04967594786729858,,0.04950000000000001,0.049499999999999995,0.049499999999999995
2023-08-10 19:08:34,0.04955365853658538,0.18199999999999997,0.0495,0.0495,0.0495
