,"{operation=""get""}","{operation=""list""}","{operation=""listWithCount""}","{operation=""update""}"
2023-08-26 00:08:30,0.024287499999999997,0.024600000000000004,0.0226,0.02441818181818182
2023-08-26 00:09:30,0.024305263157894733,0.00495,0.023999999999999994,0.0244
2023-08-26 00:10:30,0.024478260869565217,0.024800000000000003,0.021800000000000024,0.024311111111111113
2023-08-26 00:11:30,0.0244,0.00495,0.02406666666666667,0.02443333333333333
2023-08-26 00:12:30,0.024344444444444443,0.0246,0.00495,0.024028571428571423
2023-08-26 00:13:30,0.024390000000000002,0.00495,0.022,0.024573333333333336
2023-08-26 00:14:30,0.024391304347826086,0.024499999999999997,0.024440000000000003,0.024311111111111113
2023-08-26 00:15:30,0.024530769230769234,0.00495,0.0208,0.024381818181818178
2023-08-26 00:16:30,0.0244,0.0244,0.02340000000000001,0.024546666666666665
2023-08-26 00:17:30,0.024399999999999998,0.024800000000000003,0.02239999999999999,0.024311111111111113
2023-08-26 00:18:30,0.023947368421052637,0.00495,0.024333333333333332,0.024483333333333336
2023-08-26 00:19:30,0.024333333333333332,0.00495,0.024,0.02458666666666667
2023-08-26 00:20:30,0.02435294117647059,0.00495,0.0049499999999999995,0.02424444444444444
2023-08-26 00:21:30,0.024333333333333335,0.00495,0.023299999999999987,0.024492307692307688
2023-08-26 00:22:30,0.02438888888888889,0.00495,0.0242,0.024380000000000002
2023-08-26 00:23:30,0.024200000000000006,0.00495,0.0232,0.024557142857142857
2023-08-26 00:24:30,0.024053333333333333,0.024800000000000003,0.023699999999999992,0.02417499999999999
2023-08-26 00:25:30,0.024333333333333332,0.024800000000000003,0.0238,0.024360000000000007
2023-08-26 00:26:30,0.024287499999999997,0.00495,0.02393333333333334,0.024436363636363638
2023-08-26 00:27:30,0.0244,0.00495,0.024349999999999997,0.024546666666666665
2023-08-26 00:28:30,0.0242,0.00495,0.02239999999999999,0.024288888888888895
