,"{verb=""GET""}","{verb=""LIST""}","{verb=""PATCH""}","{verb=""POST""}","{verb=""PUT""}"
2023-08-26 01:35:39,0.049499999999999995,0.04950000000000001,,,0.049499999999999995
2023-08-26 01:36:39,0.0495,,,0.04950000000000001,0.04950000000000001
2023-08-26 01:37:39,0.0495,,,,0.04950000000000001
2023-08-26 01:38:39,0.0495,0.04950000000000001,0.04950000000000001,0.04950000000000001,0.04950000000000001
2023-08-26 01:39:39,0.049499999999999995,0.04950000000000001,0.0495,0.0995,0.0495
2023-08-26 01:40:39,0.0495,,0.04950000000000001,,0.04950000000000001
2023-08-26 01:41:39,0.0495,0.04950000000000001,,0.04950000000000001,0.049499999999999995
2023-08-26 01:42:39,0.04950000000000001,,,,0.0495
2023-08-26 01:43:39,0.0495,,,,0.0495
2023-08-26 01:44:39,0.0495,0.0495,0.0495,,0.0495
2023-08-26 01:45:39,0.0495,,,0.04950000000000001,0.04950000000000001
2023-08-26 01:46:39,0.08862499999999993,0.0495,,0.199,0.0495
2023-08-26 01:47:39,0.0495,0.04950000000000001,,0.04950000000000001,0.04950000000000001
2023-08-26 01:48:39,0.0495,,,0.04950000000000001,0.04950000000000001
2023-08-26 01:49:39,0.0495,0.04950000000000001,0.0495,0.04950000000000001,0.04950000000000001
2023-08-26 01:50:39,0.04950000000000001,0.04950000000000001,0.04950000000000001,0.04950000000000001,0.08050000000000009
2023-08-26 01:51:39,0.0495,,,,0.049499999999999995
2023-08-26 01:52:39,0.04950000000000001,0.04950000000000001,,0.04950000000000001,0.0495
2023-08-26 01:53:39,0.0495,0.04950000000000001,,0.04950000000000001,0.049499999999999995
2023-08-26 01:54:39,0.0495,0.049499999999999995,0.049499999999999995,,0.04950000000000001
2023-08-26 01:55:39,0.0495,,,0.04950000000000001,0.0495
