,"{code=""403""}","{code=""404""}","{code=""409""}"
2023-12-21 16:56:55,0.7777777777777778,4.8,
2023-12-21 16:57:55,2.0,8.844444444444443,
2023-12-21 16:58:55,0.7777777777777778,9.577777777777778,0.08888888888888888
2023-12-21 16:59:55,,0.28888888888888886,0.28888888888888886
2023-12-21 17:00:55,,0.28888888888888886,2.7777777777777777
2023-12-21 17:02:55,,0.02222222222222222,
2023-12-21 17:03:55,,0.02222222222222222,0.1111111111111111
2023-12-21 17:09:55,,0.1111111111111111,0.4
2023-12-21 17:10:55,,0.4666666666666667,
2023-12-21 17:11:55,,0.02222222222222222,
2023-12-21 17:12:55,,0.04444444444444444,
2023-12-21 17:13:55,,0.02222222222222222,
2023-12-21 17:14:55,,0.02222222222222222,
2023-12-21 17:18:55,,,0.4
2023-12-21 17:19:55,,0.15555555555555553,
2023-12-21 17:20:55,,0.6222222222222221,
2023-12-21 17:21:55,,0.04444444444444444,
