,"{operation=""create""}","{operation=""delete""}","{operation=""get""}","{operation=""list""}","{operation=""listWithCount""}","{operation=""update""}"
2023-12-21 05:57:42,,,0.02302083333333333,0.00495,0.022266666666666685,0.021844444444444427
2023-12-21 05:58:42,0.39700448430493235,,0.4302982456140342,0.18800000000000008,0.38600000000000007,0.36628340080971594
2023-12-21 05:59:42,0.36333884297520597,,0.35956962025316247,0.582,0.5040000000000002,0.3297380952380964
2023-12-21 06:00:42,0.3689068825910929,,0.39259007092198533,0.3840000000000001,0.5199999999999996,0.3643204419889505
2023-12-21 06:01:42,0.2741855670103087,,0.2847638190954761,0.387,0.30000000000000004,0.25172222222222107
2023-12-21 06:02:42,0.3302978723404252,,0.32809734513274186,0.744,0.5080000000000005,0.30458666666666767
2023-12-21 06:03:42,0.08616363636363661,,0.10448051948052048,0.29799999999999993,0.30000000000000004,0.055210144927536196
2023-12-21 06:04:42,0.17101250000000007,,0.18845303867403265,0.024700000000000003,0.3540000000000005,0.16475177304964594
2023-12-21 06:05:42,0.3042500000000017,,0.33536401673640215,0.024533333333333334,0.3686666666666665,0.3030317460317459
2023-12-21 06:06:42,0.06803571428571505,,0.05122222222222136,0.0247,0.17500000000000002,0.047398648648648484
2023-12-21 06:07:42,0.19126168224299034,,0.18056810631229203,0.19797435897435903,0.17649999999999985,0.17718324607329783
2023-12-21 06:08:42,,,0.024077272727272715,0.0049499999999999995,0.07700000000000012,0.02429180327868851
2023-12-21 06:09:42,0.023533333333333337,,0.04554487179487199,0.024400000000000005,0.1754999999999999,0.04381249999999984
2023-12-21 06:10:42,,,0.332468085106383,0.0236,0.3180000000000005,0.15809999999999982
2023-12-21 06:11:42,,,0.09396825396825392,0.0236,0.17700000000000007,0.09094262295081938
2023-12-21 06:12:42,0.020400000000000047,0.00495,0.024059685863874348,0.0243,0.15000000000000002,0.024066265060240975
2023-12-21 06:13:42,0.00495,,0.022894444444444464,0.00495,0.17600000000000007,0.023077611940298517
2023-12-21 06:14:42,0.00495,,0.0871333333333332,0.19794444444444445,0.1529999999999997,0.06245000000000067
2023-12-21 06:15:42,,,0.04819230769230768,0.09945945945945946,0.1754999999999998,0.0494285714285714
2023-12-21 06:16:42,,,0.02388888888888892,0.00495,0.1530000000000001,0.023941999999999995
2023-12-21 06:17:42,0.02060000000000003,,0.023716981132075484,0.04825,0.1529999999999997,0.023653333333333335
2023-12-21 06:18:42,0.0049499999999999995,,0.022683333333333347,0.00495,0.17900000000000005,0.023409523809523818
2023-12-21 06:19:42,,,0.023709259259259256,0.04825,0.15100000000000005,0.023851851851851832
2023-12-21 06:20:42,,,0.09983333333333338,0.0049499999999999995,2.5900000000000025,1.5370000000000028
2023-12-21 06:21:42,0.02060000000000003,,0.04262499999999984,0.023999999999999997,0.15200000000000014,0.03933333333333358
2023-12-21 06:22:42,,,0.024072727272727263,0.00495,0.18600000000000005,0.023421052631578954
2023-12-21 06:23:42,,,0.024118918918918895,0.0236,0.16099999999999987,0.023763043478260866
2023-12-21 06:24:42,,,0.023968627450980346,0.0049499999999999995,0.1740000000000002,0.024367567567567573
