,"{verb=""APPLY""}","{verb=""CONNECT""}","{verb=""DELETE""}","{verb=""GET""}","{verb=""LIST""}","{verb=""PATCH""}","{verb=""POST""}","{verb=""PUT""}"
2023-12-21 18:14:30,,0.40399999999999825,,0.0495,0.04950000000000001,0.04950000000000001,0.0495,0.0496189903846154
2023-12-21 18:15:30,,0.5609999999999989,,0.7883636363636357,0.04977348066298343,1.0350714285714222,0.992760869565219,0.5999999999999968
2023-12-21 18:16:30,,2.91,,0.4848888888888883,0.09800000000000002,0.5607826086956509,0.5675714285714265,0.4473333333333345
2023-12-21 18:17:30,,1.9700000000000002,,0.6944999999999999,0.38999999999999996,0.7227777777777789,0.8336500000000023,0.5179999999999986
2023-12-21 18:18:30,,0.3840000000000001,,0.0495,,0.0496875,0.09805882352941175,0.0495
2023-12-21 18:19:30,,0.6083636363636359,,0.04958638743455497,0.04950000000000001,0.07924999999999999,0.09309090909090907,0.04965230769230769
2023-12-21 18:20:30,,0.324200000000001,,0.0495,0.04950000000000001,0.051250000000000205,0.0599999999999996,0.0495
2023-12-21 18:21:30,,0.30180645161290376,,0.08900000000000784,0.5619999999999998,0.06974999999999956,0.0495,0.04995412844036698
2023-12-21 18:22:30,,0.27723076923077034,,0.049499999999999995,0.04950000000000001,0.049499999999999995,0.0495,0.0495
2023-12-21 18:23:30,0.0495,2.075379844961217,0.09678405343604406,0.3823238620689657,54.33951612903227,0.08343573531004615,1.201824408468246,0.39849550117284605
2023-12-21 18:24:30,,0.389531914893617,,0.049499999999999995,,0.0495,0.0495,0.0495
2023-12-21 18:25:30,,9.9,5.535263157894737,1.7981818181818179,,2.6964285714285703,1.4459999999999977,1.6166666666666654
2023-12-21 18:26:30,,2.96,2.8285714285714283,0.5917358490566034,41.40000000000003,0.6103333333333264,0.38135714285714517,0.5732727272727267
2023-12-21 18:27:30,,4.889285714285714,,1.090138888888894,9.239999999999995,1.1765714285714384,1.2022857142857148,1.1239285714285723
2023-12-21 18:28:30,,0.1945,,0.0495,0.04950000000000001,0.0495,0.0495,0.08330681818181832
2023-12-21 18:29:30,,0.1965,,0.0495,,0.04950000000000001,0.049499999999999995,0.0739999999999997
2023-12-21 18:30:30,,0.197,,0.0495,0.04950000000000001,0.0495,0.049499999999999995,0.0495
2023-12-21 18:31:30,,0.19733333333333336,,0.0495,0.04950000000000001,0.0495,0.049499999999999995,0.0495
2023-12-21 18:32:30,,0.1965,,0.0495,0.04950000000000001,,0.0495,0.0495
2023-12-21 18:33:30,,0.40999999999999764,,0.0495,,0.04950000000000001,0.0495,0.0495
2023-12-21 18:34:30,,0.19299999999999998,,0.049499999999999995,0.198,0.04950000000000001,0.0495,0.0495
2023-12-21 18:35:30,,0.39807339449541285,,0.0495,0.04950000000000001,0.04950000000000001,0.0495,0.0495
2023-12-21 18:36:30,,0.0495,,0.0495,0.08950000000000002,0.0495,0.0495,0.0495
2023-12-21 18:37:30,,0.1955,,0.0495,,,0.049499999999999995,0.0495
2023-12-21 18:38:30,,0.19600000000000004,,0.0495,,,0.049499999999999995,0.0495
2023-12-21 18:39:30,,0.3969090909090909,,0.0495,,0.0495,0.0495,0.0495
2023-12-21 18:40:30,,0.04950000000000001,,0.0495,,,0.0495,0.0495
2023-12-21 18:41:30,,0.04950000000000001,,0.0495,0.04950000000000001,0.0495,0.0495,0.0495
2023-12-21 18:42:30,,0.3868000000000001,,0.049499999999999995,0.04950000000000001,,0.04950000000000001,0.0495
2023-12-21 18:43:30,,0.04950000000000001,,0.0495,,0.04950000000000001,0.0495,0.0495
2023-12-21 18:44:30,,0.0995,,0.04950000000000001,0.04950000000000001,0.0495,0.0495,0.0495
2023-12-21 18:45:30,,0.09925,,0.0495,,,0.0495,0.049499999999999995
