,"{code=""400""}","{code=""403""}","{code=""404""}","{code=""409""}"
2023-12-21 18:14:30,,,5.333333333333333,
2023-12-21 18:15:30,,10.755555555555555,8.422222222222222,
2023-12-21 18:16:30,,3.1777777777777776,10.355555555555554,
2023-12-21 18:17:30,,5.466666666666667,10.866666666666667,
2023-12-21 18:19:30,,,,0.4
2023-12-21 18:20:30,,,1.0,
2023-12-21 18:21:30,,,0.3333333333333333,
2023-12-21 18:22:30,,,0.1111111111111111,
2023-12-21 18:23:30,0.04444444444444444,134.33333333333334,377.7777777777777,41.86666666666667
2023-12-21 18:24:30,,,0.02222222222222222,
2023-12-21 18:25:30,,,0.1111111111111111,
2023-12-21 18:26:30,,0.04444444444444444,6.844444444444444,
2023-12-21 18:27:30,,4.177777777777778,14.31111111111111,
2023-12-21 18:28:30,,,,0.4
2023-12-21 18:29:30,,,0.04444444444444444,0.26666666666666666
2023-12-21 18:30:30,,,1.0,0.4
2023-12-21 18:31:30,,,0.4222222222222222,
2023-12-21 18:32:30,,,0.02222222222222222,
2023-12-21 18:33:30,,,0.02222222222222222,
2023-12-21 18:34:30,,,0.02222222222222222,0.4
2023-12-21 18:35:30,,,,0.4
2023-12-21 18:36:30,,,0.02222222222222222,
2023-12-21 18:40:30,,,0.9333333333333333,
2023-12-21 18:41:30,,,0.5333333333333333,
2023-12-21 18:42:30,,,0.02222222222222222,0.4
2023-12-21 18:43:30,,,0.02222222222222222,
2023-12-21 18:44:30,,,0.02222222222222222,
2023-12-21 18:45:30,,,0.02222222222222222,
