,"{code=""403""}","{code=""404""}","{code=""409""}"
2023-12-21 07:25:56,2.3333333333333335,4.133333333333334,0.8888888888888888
2023-12-21 07:26:56,0.04444444444444444,4.644444444444444,
2023-12-21 07:27:56,0.4,4.133333333333334,0.02222222222222222
2023-12-21 07:28:56,0.08888888888888888,4.088888888888889,
2023-12-21 07:29:56,,0.2,5.844444444444444
2023-12-21 07:30:56,,,2.111111111111111
2023-12-21 07:31:56,,0.04444444444444444,
2023-12-21 07:33:56,,0.022225185580299598,
2023-12-21 07:37:56,,0.8888888888888888,
2023-12-21 07:38:56,,0.13333333333333333,
2023-12-21 07:40:56,,,0.4
2023-12-21 07:43:56,,,0.04444444444444444
2023-12-21 07:44:56,,,0.04444444444444444
2023-12-21 07:47:56,,0.9555555555555555,0.6
2023-12-21 07:48:56,,0.1111111111111111,
2023-12-21 07:49:56,,,0.4
2023-12-21 07:57:56,,0.8222222222222222,
2023-12-21 07:58:56,,0.06666666666666667,0.4
2023-12-21 08:07:56,,0.8222222222222222,0.04444444444444444
2023-12-21 08:08:56,,0.08888888888888888,
2023-12-21 08:10:56,,,0.4
2023-12-21 08:17:56,,0.8,
2023-12-21 08:18:56,,0.1111111111111111,
2023-12-21 08:23:56,,,0.2
2023-12-21 08:26:56,,,0.4
2023-12-21 08:27:56,,0.8,
