,"{verb=""CONNECT""}","{verb=""GET""}","{verb=""LIST""}","{verb=""PATCH""}","{verb=""POST""}","{verb=""PUT""}"
2023-12-21 18:58:45,0.0995,0.04950000000000001,,,0.049499999999999995,0.0495
2023-12-21 18:59:45,0.787,0.5372173913043496,0.23699999999999874,0.5990282485875711,0.5710728476821185,0.3579999999999993
2023-12-21 19:00:45,2.97,0.7589166666666662,0.1985,0.7749117647058842,0.7705538461538466,0.5805714285714271
2023-12-21 19:01:45,3.94,1.733928571428561,0.988,2.001044776119395,2.0442592592592317,1.838181818181818
2023-12-21 19:02:45,3.9299999999999997,1.5887499999999999,1.4925000000000002,1.8014705882352937,1.839416666666659,1.1889999999999998
2023-12-21 19:03:45,0.19871428571428573,0.0495,0.04950000000000001,0.05795454545454527,0.07568750000000002,0.0669999999999999
2023-12-21 19:04:45,0.3840000000000001,0.16487499999999894,,0.37799999999999967,0.049869402985074626,0.2939999999999995
2023-12-21 19:05:45,0.3799999999999999,0.1402222222222226,0.04950000000000001,0.30828571428571433,0.17599999999999857,0.11157142857142893
2023-12-21 19:06:45,1.1948333333333327,0.4367499999999991,0.18899999999999983,0.5707999999999998,1.2049999999999947,0.3934615384615375
2023-12-21 19:07:45,1.0383333333333316,0.32780000000000153,0.0995,0.5733333333333321,0.25599999999999407,0.2263636363636402
2023-12-21 19:08:45,0.19299999999999998,0.18236363636363656,0.3940000000000001,0.2399999999999984,0.04990573770491803,0.1648000000000011
2023-12-21 19:09:45,0.19700000000000004,0.049960037174721195,0.14850000000000016,0.09810000000000015,0.04987786259541985,0.0496256345177665
2023-12-21 19:10:45,0.1975,0.0495,0.08224999999999982,0.0495,0.0495,0.049499999999999995
2023-12-21 19:11:45,0.19600000000000004,0.0495,0.04950000000000001,0.04950000000000001,0.0495,0.04950000000000001
2023-12-21 19:12:45,0.19400000000000006,0.0495,0.04950000000000001,,0.0495,0.0495
2023-12-21 19:13:45,0.531333333333334,0.0495,,,0.0495,0.049499999999999995
2023-12-21 19:14:45,0.19400000000000006,0.0495,0.04950000000000001,0.0495,0.0495,0.049499999999999995
2023-12-21 19:15:45,0.3871518324607327,0.0495,0.5660000000000001,0.0495,0.0495,0.0495
2023-12-21 19:16:45,0.23999999999999932,0.0495,0.04950000000000001,0.04950000000000001,0.0495,0.0495
2023-12-21 19:17:45,0.19965310206804537,0.0495,0.5660000000000001,0.049499999999999995,0.0495,0.049499999999999995
2023-12-21 19:18:45,0.04950000000000001,0.0495,,,0.0495,0.0495
2023-12-21 19:19:45,0.1975,0.0495,0.04950000000000001,0.04950000000000001,0.0495,0.0495
2023-12-21 19:20:45,0.19666666666666666,0.0495,0.04950000000000001,0.04950000000000001,0.0495,0.04950000000000001
2023-12-21 19:21:45,0.19499999999999998,0.0495,0.04950000000000001,0.0495,0.0495,0.0495
2023-12-21 19:22:45,0.19400000000000006,0.0495,0.5680000000000002,0.049499999999999995,0.0495,0.0495
2023-12-21 19:23:45,0.19533333333333333,0.0495,0.5660000000000001,0.049499999999999995,0.0495,0.049499999999999995
2023-12-21 19:24:45,0.1965,0.0495,,0.04950000000000001,0.0495,0.049499999999999995
2023-12-21 19:25:45,0.19840000000000002,0.04950000000000001,,0.04950000000000001,0.04950000000000001,0.049499999999999995
2023-12-21 19:26:45,0.19600000000000004,0.0495,0.04950000000000001,0.04950000000000001,0.0495,0.04962468513853904
2023-12-21 19:27:45,0.19600000000000004,0.0495,,,0.04950000000000001,0.0495
