,"{resource=""apiServerIPInfo""}","{resource=""clusterrolebindings.rbac.authorization.k8s.io""}","{resource=""clusterroles.rbac.authorization.k8s.io""}","{resource=""configmaps""}","{resource=""daemonsets.apps""}","{resource=""deployments.apps""}","{resource=""endpoints""}","{resource=""events""}","{resource=""mutatingwebhookconfigurations.admissionregistration.k8s.io""}","{resource=""namespaces""}","{resource=""nodes""}","{resource=""poddisruptionbudgets.policy""}","{resource=""pods""}","{resource=""replicasets.apps""}","{resource=""secrets""}","{resource=""services""}","{resource=""validatingwebhookconfigurations.admissionregistration.k8s.io""}"
2023-12-21 07:24:56,0.1111111111111111,,,,,,,,,,,,,,,,
2023-12-21 07:25:56,0.1111111111111111,,,,,,,,,0.17777777777777776,,,,,,0.26666666666666666,
2023-12-21 07:26:56,0.1111111111111111,,,0.24444444444444444,0.2,0.13333333333333333,0.04444444444444444,,0.06666666666666667,0.2,,0.06666666666666667,56.35555555555555,0.2,0.17777777777777776,0.04444444444444444,0.06666666666666667
2023-12-21 07:27:56,0.1111111111111111,,,,,,,,,,,,,,,,
2023-12-21 07:28:56,0.08888888888888888,,,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 07:29:56,0.1111111111111111,,1.8666666666666667,,,,,1933.3333333333333,,,,,,,0.17777777777777776,,
2023-12-21 07:30:56,0.1111111111111111,,,,,,,,,,,,,,,,
2023-12-21 07:31:56,0.1111111111111111,1.5777777777777777,,,,,,,0.06666666666666667,,,,,,,0.26666666666666666,0.06666666666666667
2023-12-21 07:32:56,0.1111111111111111,,,,,,,,,,,,,,,,
2023-12-21 07:33:56,0.11112592790149799,,,,,,,,,,,,,,,,
2023-12-21 07:34:56,0.1111111111111111,,,,,,,,,,,,,,0.17777777777777776,0.26666666666666666,
2023-12-21 07:35:56,0.1111111111111111,,,,,,,3797.9333333333334,,,,,,,,,
2023-12-21 07:36:56,0.1111111111111111,,,,,,,,0.06666666666666667,,11.2,,,,,,0.06666666666666667
2023-12-21 07:37:56,0.1111111111111111,,,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 07:38:56,0.1111111111111111,1.5777777777777777,,,,,,,,,,,,,,,
2023-12-21 07:39:56,0.1111111111111111,,,,,,,,,,,,,,0.17777777777777776,,
2023-12-21 07:40:56,0.1111111111111111,,,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 07:41:56,0.1111111111111111,,,,,,,,0.06666666666666667,,,,,,,,0.06666666666666667
2023-12-21 07:42:56,0.1111111111111111,,,,,,,,,,,,,,,,
2023-12-21 07:43:56,0.1111111111111111,,,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 07:44:56,0.1111111111111111,,,,,,,,,,,,,,,,
2023-12-21 07:45:56,0.08888888888888888,,,0.24444444444444444,0.2,0.13333333333333333,0.04444444444444444,,,0.2,,0.06666666666666667,56.35555555555555,0.2,0.17777777777777776,0.04444444444444444,
2023-12-21 07:46:56,0.08888888888888888,,,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 07:47:56,0.08888888888888888,1.5777777777777777,,,,,,,,,,,,,,,
2023-12-21 07:48:56,0.08888888888888888,,,,,,,,,,,,,,,,
2023-12-21 07:49:56,0.08888888888888888,,,0.4888888888888889,0.2,0.13333333333333333,0.04444444444444444,,,0.2,,0.06666666666666667,112.7111111111111,0.2,0.17777777777777776,0.31111111111111106,
2023-12-21 07:50:56,0.08888888888888888,,,,,,,,,,,,,,,,
2023-12-21 07:51:56,0.08888888888888888,,,,,,,,,,,,,,,,
2023-12-21 07:52:56,0.08888888888888888,,1.8666666666666667,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 07:53:56,0.08888888888888888,,,,,,,,,,,,,,,,
2023-12-21 07:54:56,0.08888888888888888,,1.8666666666666667,0.24444444444444444,0.2,0.13333333333333333,0.04444444444444444,,,0.2,,0.06666666666666667,56.35555555555555,0.2,0.3555555555555555,0.04444444444444444,
2023-12-21 07:55:56,0.08888888888888888,,,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 07:56:56,0.08888888888888888,3.1555555555555554,,0.24444444444444444,0.2,0.13333333333333333,0.04444444444444444,,,0.2,,0.06666666666666667,56.35555555555555,0.2,0.17777777777777776,0.04444444444444444,
2023-12-21 07:57:56,0.08888888888888888,,,,,,,,,,,,,,,,
2023-12-21 07:58:56,0.08888888888888888,,,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 07:59:56,0.08888888888888888,,,,,,,,,,,,,,0.17777777777777776,,
2023-12-21 08:00:56,0.08888888888888888,,,,,,,,,,,,,,,,
