,"{operation=""create""}","{operation=""get""}","{operation=""list""}","{operation=""listWithCount""}","{operation=""update""}"
2023-12-21 18:58:45,,0.023236363636363642,0.0049499999999999995,0.04412499999999996,0.024092857142857138
2023-12-21 18:59:45,0.3156161616161609,0.37961157024793396,0.39200000000000007,0.5019999999999991,0.36720161290322584
2023-12-21 19:00:45,0.5362247191011246,0.537426666666666,0.19766666666666666,0.5040000000000002,0.40009230769230686
2023-12-21 19:01:45,0.9804615384615385,1.4905813953488343,0.98,2.499999999999995,0.9455094339622625
2023-12-21 19:02:45,0.9999999999999964,1.207673913043477,1.4825,1.4375,0.9808363636363632
2023-12-21 19:03:45,0.024888888888888894,0.024917187500000007,0.0049499999999999995,0.0877499999999999,0.02466013363028953
2023-12-21 19:04:45,,0.4993333333333343,0.024200000000000006,1.3925000000000003,0.378000000000002
2023-12-21 19:05:45,,0.17426666666666651,0.024300000000000002,0.14500000000000077,0.09605882352941184
2023-12-21 19:06:45,,0.4990909090909097,0.09951351351351358,0.3560000000000001,0.3918666666666657
2023-12-21 19:07:45,,0.44899999999999507,0.09875,0.37533333333333335,0.2762222222222209
2023-12-21 19:08:45,,0.2474999999999996,0.386,0.35700000000000004,0.1318000000000006
2023-12-21 19:09:45,,0.07299999999999988,0.09947647058823529,0.08724999999999986,0.045125000000000026
2023-12-21 19:10:45,,0.023505263157894727,0.04687500000000002,0.08049999999999984,0.02436541353383459
2023-12-21 19:11:45,,0.023411764705882344,0.0236,0.08700000000000004,0.02435076923076923
2023-12-21 19:12:45,,0.023823529411764712,0.0049499999999999995,0.08800000000000009,0.024352941176470584
2023-12-21 19:13:45,,0.03935714285714282,0.00495,0.08750000000000006,0.02448852459016394
2023-12-21 19:14:45,,0.0239,0.023999999999999997,0.08824999999999993,0.02428518518518518
2023-12-21 19:15:45,,0.02259680000000001,0.3580000000000001,0.023742857142857145,0.024433333333333338
2023-12-21 19:16:45,,0.021058536585365818,0.00495,0.08850000000000009,0.02401095890410959
2023-12-21 19:17:45,,0.021766071428571437,0.3580000000000001,0.0226,0.023934285714285724
2023-12-21 19:18:45,,0.024085714285714294,0.00495,0.089,0.024308433734939756
2023-12-21 19:19:45,0.022800000000000008,0.023623529411764717,0.023999999999999997,0.0918333333333333,0.024270731707317073
2023-12-21 19:20:45,,0.023200000000000012,0.0049499999999999995,0.023571428571428577,0.02375428571428571
2023-12-21 19:21:45,,0.023033333333333336,0.00495,0.09316666666666672,0.02402631578947368
2023-12-21 19:22:45,,0.022679999999999992,0.17999999999999985,0.02260000000000001,0.02431506849315068
2023-12-21 19:23:45,,0.02253846153846153,0.3580000000000001,0.08850000000000009,0.024222857142857147
2023-12-21 19:24:45,,0.02382666666666667,0.00495,0.0774999999999999,0.024273786407766982
2023-12-21 19:25:45,,0.02398823529411765,0.00495,0.0774999999999999,0.024293999999999982
2023-12-21 19:26:45,,0.02799999999999993,0.00495,0.0918333333333333,0.024244999999999992
2023-12-21 19:27:45,,0.023125000000000007,0.00495,0.0799999999999999,0.024371428571428582
