,"{verb=""DELETE""}","{verb=""GET""}","{verb=""LIST""}","{verb=""PATCH""}","{verb=""POST""}","{verb=""PUT""}","{verb=""WATCH""}"
2023-08-26 00:52:04,0.0,24.73333333333333,2.333333333333333,3.8000000000000003,1.5333333333333332,2.6,0.4666666666666666
2023-08-26 00:53:04,0.0,4.733333333333334,0.4666666666666667,0.0,0.2,2.6666666666666665,0.39999999999999997
2023-08-26 00:54:04,0.0,14.666666666666666,1.3333333333333333,1.8666666666666667,0.13333333333333333,2.533333333333333,0.8666666666666666
2023-08-26 00:55:04,0.0,4.733333333333334,0.0,0.06666666666666667,0.2,2.6666666666666665,0.2
2023-08-26 00:56:04,0.0,4.800000000000001,0.0,0.0,0.2,2.6,0.2
2023-08-26 00:57:04,0.0,5.0,0.06666666666666667,0.0,0.13333333333333333,2.6,0.3333333333333333
2023-08-26 00:58:04,0.0,4.800000000000001,0.0,0.0,0.13333333333333333,2.6,0.3333333333333333
2023-08-26 00:59:04,0.0,4.933333333333334,0.0,0.0,0.2,2.6,0.3333333333333333
2023-08-26 01:00:04,0.0,4.733333333333334,0.06666666666666667,0.0,0.06666666666666667,2.6,0.4666666666666666
2023-08-26 01:01:04,0.0,4.866666666666667,0.0,0.0,0.2,2.6666666666666665,0.4
2023-08-26 01:02:04,0.0,4.533333333333333,0.0,0.0,0.06666666666666667,2.6,0.39999999999999997
2023-08-26 01:03:04,0.0,5.0,0.06666666666666667,0.06666666666666667,0.2,2.6,0.9333333333333333
2023-08-26 01:04:04,0.0,4.733333333333333,0.06666666666666667,0.0,0.2,2.6666666666666665,0.6666666666666667
2023-08-26 01:05:04,0.0,4.666666666666668,0.0,0.06666666666666667,0.06666666666666667,2.6666666666666665,0.6666666666666666
2023-08-26 01:06:04,0.0,5.533333333333334,0.4666666666666667,0.0,0.2,2.533333333333333,0.5333333333333333
2023-08-26 01:07:04,0.0,4.533333333333334,0.0,0.0,0.2,2.533333333333333,0.9999999999999999
2023-08-26 01:08:04,0.0,5.0,0.0,0.06666666666666667,0.2,2.6,0.26666666666666666
2023-08-26 01:09:04,0.0,5.0,0.06666666666666667,0.0,0.2,2.7333333333333334,0.6
2023-08-26 01:10:04,0.0,4.933333333333334,0.0,0.0,0.2,2.6,0.4
2023-08-26 01:11:04,0.0,4.666666666666667,0.0,0.0,0.26666666666666666,2.6,0.6666666666666666
2023-08-26 01:12:04,0.0,4.866666666666667,0.06666666666666667,0.0,0.2,2.6,0.5333333333333333
