,"{code=""404""}","{code=""409""}"
2023-12-21 00:05:23,,2.7333333333333334
2023-12-21 00:06:23,,0.08888888888888888
2023-12-21 00:07:23,,0.04444444444444444
2023-12-21 00:10:23,1.1777777777777776,
2023-12-21 00:11:23,0.02222222222222222,
2023-12-21 00:13:23,0.02222222222222222,0.04444444444444444
2023-12-21 00:15:23,,0.02222222222222222
2023-12-21 00:19:23,0.02222222222222222,
2023-12-21 00:20:23,1.222222222222222,
2023-12-21 00:21:23,0.02222222222222222,
2023-12-21 00:23:23,0.02222222222222222,
2023-12-21 00:25:23,,0.4
2023-12-21 00:29:23,0.02222222222222222,
2023-12-21 00:30:23,1.2666666666666666,
