,"{resource=""apiServerIPInfo""}","{resource=""clusterrolebindings.rbac.authorization.k8s.io""}","{resource=""clusterroles.rbac.authorization.k8s.io""}","{resource=""configmaps""}","{resource=""daemonsets.apps""}","{resource=""deployments.apps""}","{resource=""endpoints""}","{resource=""events""}","{resource=""mutatingwebhookconfigurations.admissionregistration.k8s.io""}","{resource=""namespaces""}","{resource=""nodes""}","{resource=""poddisruptionbudgets.policy""}","{resource=""pods""}","{resource=""replicasets.apps""}","{resource=""secrets""}","{resource=""services""}","{resource=""validatingwebhookconfigurations.admissionregistration.k8s.io""}"
2023-12-21 00:02:23,0.1111111111111111,,,,,,,,0.06666666666666667,,,,,,,,0.06666666666666667
2023-12-21 00:03:23,0.1111111111111111,,1.7777777777777777,,,,,,,,,,,,,,
2023-12-21 00:04:23,0.1111111111111111,1.5111111111111108,,0.2,0.17777777777777776,0.1111111111111111,0.04444444444444444,,,0.2,,0.06666666666666667,56.31111111111111,0.17777777777777776,0.13333333333333333,32.6,
2023-12-21 00:05:23,0.1111111111111111,1.5111111111111108,,,,,,,,,,,,,,,
2023-12-21 00:06:23,0.1111111111111111,,,,,,,,,,,,,,,,
2023-12-21 00:07:23,0.1111111111111111,,,0.2,0.17777777777777776,0.1111111111111111,0.04444444444444444,,0.06666666666666667,0.2,,0.06666666666666667,56.31111111111111,0.17777777777777776,0.13333333333333333,44.71111111111111,0.06666666666666667
2023-12-21 00:08:23,0.1111111111111111,,,,,,,,,,,,,,,,
2023-12-21 00:09:23,0.1111111111111111,,,,,,,,,,,,,,,,
2023-12-21 00:10:23,0.1111111111111111,,,,,,,,,,,,,,,44.666666666666664,
2023-12-21 00:11:23,0.1111111111111111,,,,,,,,,,,,,,,,
2023-12-21 00:12:23,0.1111111111111111,,,,,,,,0.06666666666666667,,,,,,,,0.06666666666666667
2023-12-21 00:13:23,0.1111111111111111,,,,,,,0.711111111111111,,,22.4,,56.31111111111111,,,44.666666666666664,
2023-12-21 00:14:23,0.1111111111111111,,1.7777777777777777,,,,,,,,,,,,,,
2023-12-21 00:15:23,0.1111111111111111,,,,,,,,,,,,,,,,
2023-12-21 00:16:23,0.1111111111111111,,,,,,,,,,,,,,,44.666666666666664,
2023-12-21 00:17:23,0.1111111111111111,,,,,,,,0.06666666666666667,,,,,,,,0.06666666666666667
2023-12-21 00:18:23,0.1111111111111111,,,,,,,,,,,,,,,,
2023-12-21 00:19:23,0.1111111111111111,,,,,,,,,,,,,,,44.666666666666664,
2023-12-21 00:20:23,0.1111111111111111,1.5111111111111108,,,,,,,,,,,,,,,
2023-12-21 00:21:23,0.1111111111111111,1.5111111111111108,,,,,,,,,,,,,,,
2023-12-21 00:22:23,0.1111111111111111,,,,,,,,0.06666666666666667,,,,,,,44.666666666666664,0.06666666666666667
2023-12-21 00:23:23,0.1111111111111111,,,,,,,0.711111111111111,,,22.4,,56.31111111111111,,,,
2023-12-21 00:24:23,0.1111111111111111,,,,,,,,,,,,,,,,
2023-12-21 00:25:23,0.1111111111111111,,,,,,,,,,,,,,,44.666666666666664,
2023-12-21 00:26:23,0.1111111111111111,,,,,,,,,,,,,,,,
2023-12-21 00:27:23,0.1111111111111111,,,,,,,,0.06666666666666667,,,,,,,,0.06666666666666667
2023-12-21 00:28:23,0.1111111111111111,,,,,,,,,,,,,,,44.666666666666664,
2023-12-21 00:29:23,0.1111111111111111,,1.7777777777777777,0.2,0.17777777777777776,0.1111111111111111,0.04444444444444444,,,0.2,,0.06666666666666667,56.31111111111111,0.17777777777777776,0.13333333333333333,0.04444444444444444,
2023-12-21 00:30:23,0.1111111111111111,,,,,,,,,,,,,,,,
